time,ax,ay,az,atotal
3.176,-0.00,-0.00,-0.04,0.04
3.186,0.00,-0.00,-0.04,0.04
3.196,-0.01,-0.00,-0.04,0.04
3.206,0.01,-0.01,-0.05,0.05
3.216,-0.00,0.00,-0.07,0.07
3.226,-0.01,0.00,-0.04,0.04
3.236,-0.01,-0.00,-0.04,0.04
3.246,-0.01,-0.01,-0.05,0.05
3.257,-0.02,-0.00,-0.05,0.05
3.266,-0.01,-0.02,-0.04,0.05
3.276,-0.00,0.00,-0.06,0.06
3.287,0.00,-0.01,-0.05,0.05
3.297,0.01,-0.01,-0.05,0.06
3.307,0.00,-0.01,-0.05,0.06
3.317,0.00,0.01,-0.04,0.04
3.327,0.00,0.00,-0.05,0.05
3.337,-0.02,-0.02,-0.04,0.05
3.347,-0.00,-0.01,-0.04,0.04
3.357,-0.00,0.00,-0.05,0.05
3.367,-0.00,-0.02,-0.06,0.06
3.377,-0.00,-0.00,-0.05,0.05
3.388,0.00,-0.01,-0.05,0.05
3.398,0.00,0.01,-0.05,0.05
3.408,-0.01,-0.00,-0.05,0.05
3.418,-0.01,0.00,-0.05,0.05
3.428,-0.02,-0.01,-0.03,0.04
3.438,-0.02,0.00,-0.05,0.05
3.448,-0.01,0.00,-0.04,0.05
3.458,0.00,-0.00,-0.04,0.04
3.468,0.01,-0.00,-0.07,0.07
3.478,-0.01,-0.01,-0.05,0.05
3.488,-0.00,-0.01,-0.04,0.04
3.498,-0.01,0.00,-0.05,0.06
3.508,-0.01,-0.00,-0.05,0.05
3.519,0.01,-0.00,-0.04,0.04
3.529,0.01,-0.01,-0.05,0.05
3.539,0.00,-0.01,-0.04,0.04
3.549,0.00,-0.01,-0.05,0.05
3.559,-0.01,-0.00,-0.04,0.04
3.569,0.00,0.00,-0.03,0.03
3.579,0.00,-0.01,-0.05,0.05
3.589,-0.02,-0.01,-0.04,0.05
3.599,-0.01,0.00,-0.05,0.05
3.609,0.01,-0.00,-0.05,0.05
3.619,-0.01,0.00,-0.04,0.04
3.629,-0.01,-0.01,-0.04,0.04
3.640,-0.01,-0.00,-0.05,0.05
3.650,-0.01,-0.01,-0.05,0.05
3.660,-0.01,-0.02,-0.05,0.05
3.670,-0.02,-0.00,-0.04,0.05
3.680,-0.01,-0.01,-0.04,0.04
3.690,0.00,-0.00,-0.06,0.06
3.700,-0.01,0.00,-0.05,0.05
3.710,-0.00,-0.01,-0.03,0.04
3.720,0.01,-0.01,-0.05,0.05
3.730,0.00,-0.01,-0.04,0.04
3.741,-0.01,0.00,-0.04,0.04
3.750,-0.01,0.01,-0.04,0.05
3.761,-0.00,-0.00,-0.05,0.05
3.771,0.00,-0.02,-0.05,0.06
3.781,0.01,0.00,-0.04,0.04
3.791,0.00,0.00,-0.04,0.04
3.801,-0.01,-0.00,-0.06,0.06
3.811,-0.00,-0.02,-0.04,0.04
3.821,-0.00,0.00,-0.04,0.04
3.831,-0.01,-0.01,-0.05,0.05
3.841,0.00,-0.01,-0.04,0.04
3.851,-0.01,-0.02,-0.04,0.04
3.861,-0.01,-0.01,-0.05,0.05
3.871,-0.00,-0.00,-0.05,0.05
3.882,0.01,-0.01,-0.05,0.05
3.891,0.01,0.00,-0.06,0.06
3.902,0.01,-0.00,-0.03,0.03
3.912,-0.00,0.01,-0.05,0.05
3.922,-0.00,-0.01,-0.06,0.06
3.932,0.01,-0.00,-0.05,0.05
3.942,-0.01,-0.01,-0.04,0.04
3.952,-0.02,-0.01,-0.04,0.04
3.962,-0.01,-0.01,-0.05,0.05
3.972,-0.00,-0.00,-0.05,0.05
3.982,0.00,-0.00,-0.05,0.05
3.992,0.00,0.01,-0.05,0.05
4.003,-0.01,-0.00,-0.06,0.06
4.012,-0.00,-0.01,-0.05,0.06
4.023,-0.01,-0.01,-0.05,0.05
4.033,0.00,-0.01,-0.05,0.05
