time,ax,ay,az,atotal
3.861,2.22,-0.33,0.55,2.31
3.870,2.02,-0.27,-0.15,2.04
3.881,1.91,-0.26,-0.62,2.02
3.890,1.84,-0.30,-0.70,2.00
3.901,1.83,-0.44,-0.42,1.92
3.911,1.84,-0.64,0.06,1.95
3.921,1.91,-0.76,0.36,2.09
3.931,1.98,-0.83,0.43,2.19
3.941,1.90,-0.86,0.23,2.10
3.951,1.67,-0.86,-0.19,1.89
3.961,1.37,-0.85,-0.67,1.75
3.971,1.10,-0.86,-1.09,1.77
3.981,0.91,-0.87,-1.42,1.90
3.991,0.77,-0.91,-1.53,1.94
4.002,0.69,-0.96,-1.50,1.91
4.012,0.70,-0.95,-1.37,1.81
4.022,0.71,-0.95,-1.21,1.70
4.032,0.76,-0.90,-0.96,1.53
4.042,0.92,-0.84,-0.74,1.45
4.052,1.17,-0.76,-0.44,1.46
4.062,1.43,-0.63,-0.18,1.57
4.072,1.79,-0.44,-0.04,1.85
4.082,2.23,-0.19,0.07,2.24
4.092,2.66,0.12,0.14,2.66
4.102,3.02,0.43,0.17,3.05
4.112,3.34,0.81,0.19,3.45
4.122,3.61,1.20,0.30,3.82
4.132,3.57,1.50,0.35,3.89
4.143,3.37,1.63,0.38,3.77
4.153,3.20,1.75,0.50,3.68
4.163,3.13,1.90,0.76,3.74
4.173,3.13,1.87,1.23,3.85
4.183,3.36,1.68,1.78,4.16
4.193,3.59,1.48,2.24,4.49
4.203,3.67,1.17,2.42,4.55
4.213,3.58,0.82,2.18,4.27
4.223,3.21,0.58,1.51,3.60
4.233,2.69,0.44,0.62,2.80
4.243,2.27,0.33,-0.13,2.30
4.253,1.95,0.19,-0.60,2.05
4.264,1.78,0.03,-0.71,1.91
4.274,1.56,-0.21,-0.52,1.66
4.284,1.35,-0.48,-0.22,1.45
4.294,1.23,-0.69,0.15,1.42
4.304,1.17,-0.83,0.52,1.52
4.314,1.05,-0.90,0.77,1.59
4.324,0.92,-0.96,0.85,1.58
4.334,0.73,-0.93,0.68,1.37
4.344,0.54,-0.88,0.40,1.11
4.354,0.40,-0.86,0.11,0.96
4.364,0.24,-0.86,-0.13,0.90
4.374,0.11,-0.91,-0.34,0.97
4.385,-0.08,-1.02,-0.50,1.13
4.395,-0.23,-1.11,-0.58,1.28
4.405,-0.35,-1.17,-0.54,1.34
4.415,-0.45,-1.23,-0.45,1.38
4.425,-0.44,-1.24,-0.32,1.36
4.435,-0.43,-1.18,-0.18,1.26
4.445,-0.49,-1.09,-0.14,1.20
4.455,-0.53,-1.06,-0.13,1.19
4.465,-0.72,-1.04,-0.14,1.27
4.475,-0.88,-1.03,-0.08,1.36
4.485,-0.82,-0.95,0.14,1.26
4.495,-0.80,-0.80,0.29,1.17
4.505,-0.68,-0.61,0.32,0.97
4.515,-0.54,-0.32,0.30,0.69
4.526,-0.44,-0.02,0.18,0.48
4.536,-0.34,0.20,-0.03,0.39
4.546,-0.20,0.46,-0.22,0.55
4.556,-0.08,0.71,-0.44,0.84
4.566,-0.17,0.89,-0.71,1.16
4.576,-0.31,1.04,-0.97,1.46
4.586,-0.47,1.15,-1.22,1.75
4.596,-0.72,1.21,-1.44,2.01
4.606,-0.91,1.13,-1.40,2.02
4.616,-1.07,0.91,-1.07,1.77
4.627,-1.23,0.68,-0.60,1.53
4.636,-1.35,0.51,-0.13,1.44
4.647,-1.55,0.33,0.14,1.59
4.656,-1.71,0.17,0.28,1.74
4.667,-1.81,0.08,0.34,1.84
4.677,-1.78,0.11,0.36,1.82
4.687,-1.70,0.19,0.34,1.75
4.697,-1.49,0.29,0.17,1.53
4.707,-1.17,0.39,0.04,1.23
4.717,-0.84,0.43,0.06,0.95
4.727,-0.52,0.42,0.19,0.69
4.737,-0.26,0.32,0.30,0.51
4.747,-0.13,0.21,0.32,0.40
