time,ax,ay,az,atotal
2.893,0.04,-0.06,-0.03,0.08
2.903,-0.04,-0.04,-0.02,0.05
2.913,-0.07,-0.02,0.01,0.07
2.927,-0.06,-0.05,0.07,0.11
2.934,-0.01,-0.00,0.35,0.35
2.943,-0.14,-0.00,-0.13,0.19
2.953,-0.10,-0.27,-0.89,0.93
2.963,-0.07,-0.11,-1.03,1.04
2.974,-0.48,0.11,-0.67,0.83
2.984,-0.75,0.07,-0.14,0.77
